County,Technical Male,Technical Female,Advanced certificate Male,Advanced certificate Female,Higher certificate Male,Higher certificate Female,Ordinary degree Male,Ordinary degree Female,Honours degree Male,Honours degree Female,Postgraduate Male,Postgraduate Female,Ph.D Male,Ph.D Female
Carlow,788,1101,966,487,524,828,741,918,992,1429,631,1021,75,69
Cavan,1342,1787,1361,769,652,1052,990,1311,1057,1747,665,1277,57,44
Clare,1499,2052,1964,1038,1141,1520,1998,2514,2441,3341,1880,2796,237,207
Cork City,1482,1811,1221,807,1067,1175,2050,2145,3315,3582,2961,3648,638,445
Cork County,6307,8449,7288,4024,4299,5473,7452,8802,10331,12938,7403,11213,1178,942
Donegal,1485,2388,1728,1224,1285,1903,1868,2819,2535,3919,1905,3060,204,147
Dublin City,5501,6540,4226,2968,4396,4738,9488,10001,19071,20760,19251,23146,2636,2231
Dun-Laoghaire Rathdown,1888,2746,1638,1520,1941,2533,4689,5262,10293,9979,10613,11631,1686,1217
Fingal,3774,5046,3347,2274,3052,3552,5545,6164,8228,9286,7067,8754,851,637
Galway City,1032,1151,665,556,754,864,1514,1820,2448,2906,2274,3175,528,419
Galway,2419,3131,2868,1507,1614,2286,2962,3921,3864,5317,3159,5030,530,442
Kerry,1996,2565,2408,1478,1409,2117,2474,3296,2735,3821,1745,2985,229,173
Kildare,2822,3816,3079,1777,2224,2796,3884,4326,5598,6789,4577,6079,585,500
Kilkenny,1347,1921,1977,1010,940,1317,1523,2083,2179,3232,1449,2408,118,106
Laois,1095,1673,1308,652,679,1011,1087,1392,1289,2027,832,1613,87,56
Leitrim,447,526,502,303,332,454,483,617,602,840,369,778,38,38
Limerick,2331,3276,2816,1567,1736,2306,3006,3532,4448,5018,2936,4110,541,383
Limerick City,2331,3276,2816,1567,1736,2306,3006,3532,4448,5018,2936,4110,541,383
Longford,676,742,590,336,328,498,545,692,602,881,361,593,31,30
Louth,1565,2263,1617,1032,1123,1545,1960,2308,2508,3265,1861,2509,178,136
Mayo,1708,2338,2011,1144,1146,1664,1987,2593,2372,3535,1605,2814,179,128
Meath,2577,3645,3037,1636,1860,2471,3190,3711,3989,5365,2983,4273,319,275
Monaghan,804,1170,875,546,449,802,773,1088,940,1636,547,1078,32,45
Offaly,1032,1321,1281,649,603,906,919,1316,1089,1666,749,1367,57,59
Roscommon,835,1096,1007,548,634,836,969,1248,1152,1752,748,1353,66,70
Sligo,850,1101,959,556,640,893,1036,1440,1303,1981,1049,1623,120,112
South Dublin,3362,4427,3045,1857,2394,2865,4213,4685,6450,7610,5155,6648,615,461
North Tipperary,2086,2853,2658,1501,1360,1969,2182,2826,2652,3958,1793,3043,219,198
South Tipperary,2086,2853,2658,1501,1360,1969,2182,2826,2652,3958,1793,3043,219,198
Waterford,1386,2114,1714,996,1014,1400,1700,2096,2459,3334,1742,2449,259,188
Waterford City,1386,2114,1714,996,1014,1400,1700,2096,2459,3334,1742,2449,259,188
Westmeath,1107,1383,1275,759,823,1078,1326,1550,1766,2347,1288,1938,131,94
Wexford,2153,3242,2432,1464,1419,1924,2032,2647,2467,3937,1625,2821,174,124
Wicklow,1732,2680,2110,1205,1515,1985,2577,2997,3395,4257,2792,3705,392,307
